token,symbol,name,exch_seg
13287,M&MFIN-BL,M&MFIN,NSE
8682,NATNLSTEEL-BE,NATNLSTEEL,NSE
11032,SANGINITA-EQ,SANGINITA,NSE
10237,UTRQP31P15-MF,UTRQP31P15,NSE
4272,ECLFINANCE-NF,ECLFINANCE,NSE
9219,TPLPLASTEH-EQ,TPLPLASTEH,NSE
11372,TTKHLTCARE-BL,TTKHLTCARE,NSE
3273,SRF-EQ,SRF,NSE
20314,NRAIL-EQ,NRAIL,NSE
8054,KTKBANK-EQ,KTKBANK,NSE
9227,L&TFINANCE-NE,L&TFINANCE,NSE
12413,GSFC-BL,GSFC,NSE
4716,UTIDFP30P3-MF,UTIDFP30P3,NSE
12223,ATFL-BL,ATFL,NSE
7913,LFIC-BL,LFIC,NSE
1212,635MH28-SG,635MH28,NSE
12625,NBVENTURES-BL,NBVENTURES,NSE
12074,63MOONS-BL,63MOONS,NSE
8293,H1175D43DQ-MF,H1175D43DQ,NSE
22177,735WB30-SG,735WB30,NSE
31968,NHBTF2014-N4,NHBTF2014,NSE
4212,UCL-SM,UCL,NSE
3908,PREMIERPOL-EQ,PREMIERPOL,NSE
12454,HIL-BL,HIL,NSE
10828,SEYAIND-EQ,SEYAIND,NSE
42,677WB40-SG,677WB40,NSE
19694,JITFINFRA-BL,JITFINFRA,NSE
7361,SETFNIFBK-EQ,SETFNIFBK,NSE
7263,UTRAP30P13-MF,UTRAP30P13,NSE
1571,RVHL-BL,RVHL,NSE
6149,SRTRANSFIN-YP,SRTRANSFIN,NSE
9233,L&TFINANCE-NH,L&TFINANCE,NSE
7411,NILASPACES-EQ,NILASPACES,NSE
17152,ICICIM150-EQ,ICICIM150,NSE
16672,BAJAJ-AUTO-BL,BAJAJ-AUTO,NSE
913,EQUITASBNK-EQ,EQUITASBNK,NSE
24085,UFIAIPRGII-MF,UFIAIPRGII,NSE
3079,698PY33-SG,698PY33,NSE
212,ASHOKLEY-EQ,ASHOKLEY,NSE
2497,SILGO-BL,SILGO,NSE
701,HEMIPROP-EQ,HEMIPROP,NSE
14712,HGS-EQ,HGS,NSE
13182,ROHLTD-EQ,ROHLTD,NSE
16990,COUNCODOS-BL,COUNCODOS,NSE
1715,66RJ30C-SG,66RJ30C,NSE
4378,ICICISENSX-EQ,ICICISENSX,NSE
4238,ABSLFTQPRQ-MF,ABSLFTQPRQ,NSE
10083,EMAMIPAP-BL,EMAMIPAP,NSE
21332,BHAGYAPROP-EQ,BHAGYAPROP,NSE
2602,H1177D39DQ-MF,H1177D39DQ,NSE
22152,730WB29-SG,730WB29,NSE
15145,COLPAL-BL,COLPAL,NSE
21729,MATRIMONY-BL,MATRIMONY,NSE
4516,UTIRQP30P2-MF,UTIRQP30P2,NSE
9148,DHANILOANS-N4,DHANILOANS,NSE
3873,H1124D41RQ-MF,H1124D41RQ,NSE
17553,FIIOF2GP-MF,FIIOF2GP,NSE
21902,577KL25-SG,577KL25,NSE
11532,ULTRACEMCO-EQ,ULTRACEMCO,NSE
2200,SGBFEB29XI-GB,SGBFEB29XI,NSE
16783,GET&D-EQ,GET&D,NSE
20148,69GA30-SG,69GA30,NSE
497,SGBNOV258-GB,SGBNOV258,NSE
18434,BIGBLOC-BL,BIGBLOC,NSE
11971,GOLDIAM-EQ,GOLDIAM,NSE
22088,70UP30-SG,70UP30,NSE
13658,GEECEE-EQ,GEECEE,NSE
2134,698AS31-SG,698AS31,NSE
4210,FIMPS4BQDP-MF,FIMPS4BQDP,NSE
3443,UTIDFP29P5-MF,UTIDFP29P5,NSE
2555,UTDGR28P13-MF,UTDGR28P13,NSE
1972,UTRGR28P12-MF,UTRGR28P12,NSE
3137,ABSLFTPURN-MF,ABSLFTPURN,NSE
25263,UFIAIPRGIV-MF,UFIAIPRGIV,NSE
22410,663KA30-SG,663KA30,NSE
10948,STCINDIA-EQ,STCINDIA,NSE
96,CMMIPL-SM,CMMIPL,NSE
16292,PANACHE-EQ,PANACHE,NSE
4334,SRTRANSFIN-YB,SRTRANSFIN,NSE
12622,NATCOPHARM-BL,NATCOPHARM,NSE
7829,UTRQP31P01-MF,UTRQP31P01,NSE
8249,UTDMP31P02-MF,UTDMP31P02,NSE
1476,IDBI-EQ,IDBI,NSE
21072,UTCPOR9GR2-MF,UTCPOR9GR2,NSE
18374,NDGL-BL,NDGL,NSE
17647,COMPINFO-BL,COMPINFO,NSE
31237,SCHNEIDER-BL,SCHNEIDER,NSE
22222,717GJ30A-SG,717GJ30A,NSE
