token,symbol,name
11032,SANGINITA-EQ,SANGINITA
9219,TPLPLASTEH-EQ,TPLPLASTEH
3273,SRF-EQ,SRF
20314,NRAIL-EQ,NRAIL
8054,KTKBANK-EQ,KTKBANK
3908,PREMIERPOL-EQ,PREMIERPOL
10828,SEYAIND-EQ,SEYAIND
7361,SETFNIFBK-EQ,SETFNIFBK
7411,NILASPACES-EQ,NILASPACES
17152,ICICIM150-EQ,ICICIM150
913,EQUITASBNK-EQ,EQUITASBNK
212,ASHOKLEY-EQ,ASHOKLEY
701,HEMIPROP-EQ,HEMIPROP
14712,HGS-EQ,HGS
13182,ROHLTD-EQ,ROHLTD
4378,ICICISENSX-EQ,ICICISENSX
21332,BHAGYAPROP-EQ,BHAGYAPROP
11532,ULTRACEMCO-EQ,ULTRACEMCO
16783,GET&D-EQ,GET&D
11971,GOLDIAM-EQ,GOLDIAM
13658,GEECEE-EQ,GEECEE
10948,STCINDIA-EQ,STCINDIA
16292,PANACHE-EQ,PANACHE
1476,IDBI-EQ,IDBI
23824,SANGHVIFOR-EQ,SANGHVIFOR
7,AARTIIND-EQ,AARTIIND
2354,KARDA-EQ,KARDA
12847,KRISHANA-EQ,KRISHANA
4179,SUNDRMBRAK-EQ,SUNDRMBRAK
23650,MUTHOOTFIN-EQ,MUTHOOTFIN
19,INEOSSTYRO-EQ,INEOSSTYRO
1508,ASTERDM-EQ,ASTERDM
19061,MANAPPURAM-EQ,MANAPPURAM
1512,INDHOTEL-EQ,INDHOTEL
936,DPABHUSHAN-EQ,DPABHUSHAN
14008,AVTNPL-EQ,AVTNPL
12603,PRECAM-EQ,PRECAM
15219,PATINTLOG-EQ,PATINTLOG
17046,HINDNATGLS-EQ,HINDNATGLS
3938,INDLMETER-EQ,INDLMETER
11860,JKPAPER-EQ,JKPAPER
20698,SCHAND-EQ,SCHAND
19104,ROLLT-EQ,ROLLT
14644,MIC-EQ,MIC
474,3MINDIA-EQ,3MINDIA
3129,SHREYAS-EQ,SHREYAS
18431,BIGBLOC-EQ,BIGBLOC
16875,SICAGEN-EQ,SICAGEN
13730,INSPIRISYS-EQ,INSPIRISYS
10217,ADANITRANS-EQ,ADANITRANS
21808,SBILIFE-EQ,SBILIFE
19184,SFL-EQ,SFL
2997,SANGHIIND-EQ,SANGHIIND
1181,GODFRYPHLP-EQ,GODFRYPHLP
7518,TREJHARA-EQ,TREJHARA
3149,BORORENEW-EQ,BORORENEW
11813,SHOPERSTOP-EQ,SHOPERSTOP
24217,IVZINNIFTY-EQ,IVZINNIFTY
11522,NIITLTD-EQ,NIITLTD
13275,INDOTECH-EQ,INDOTECH
11689,SUPRAJIT-EQ,SUPRAJIT
11184,IDFCFIRSTB-EQ,IDFCFIRSTB
11842,CYBERMEDIA-EQ,CYBERMEDIA
13295,VISASTEEL-EQ,VISASTEEL
10993,INDORAMA-EQ,INDORAMA
79,ALEMBICLTD-EQ,ALEMBICLTD
4014,NBVENTURES-EQ,NBVENTURES
11965,VIVIMEDLAB-EQ,VIVIMEDLAB
419,BEPL-EQ,BEPL
1363,HINDALCO-EQ,HINDALCO
11864,PRIMESECU-EQ,PRIMESECU
15308,SHRIRAMEPC-EQ,SHRIRAMEPC
22377,MAXHEALTH-EQ,MAXHEALTH
11625,EBANK-EQ,EBANK
8833,BCG-EQ,BCG
11301,LUXIND-EQ,LUXIND
10576,NIFTYBEES-EQ,NIFTYBEES
