date,open,high,low,close,adjustedClose,volume,dividendAmt,splitCoeff
2020-03-16,640.0,640.0,580.0,582.85,575.0209,927681.0,0.0,1.0
2020-03-17,585.2,592.05,550.1,555.6,548.137,967841.0,0.0,1.0
2020-03-18,565.2,578.0,528.15,535.05,527.863,673598.0,0.0,1.0
2020-03-19,530.0,557.7,511.1,545.4,538.074,2113081.0,0.0,1.0
2020-03-20,554.0,617.0,549.65,584.95,577.0928,1824428.0,0.0,1.0
2020-03-23,548.0,560.0,514.8,526.7,519.6252,724224.0,0.0,1.0
2020-03-24,535.0,605.7,525.55,593.55,585.5772,629411.0,0.0,1.0
2020-03-25,593.0,634.8,566.0,605.95,597.8107,553061.0,0.0,1.0
2020-03-26,615.95,650.5,614.0,646.3,637.6187,497057.0,0.0,1.0
2020-03-27,655.0,675.0,642.8,653.55,644.7713,745637.0,0.0,1.0
2020-03-30,634.0,664.0,621.95,627.2,618.7753,1128539.0,0.0,1.0
2020-03-31,645.5,661.95,634.75,640.3,631.6993,1706196.0,0.0,1.0
2020-04-01,640.0,640.0,594.25,604.1,595.9855,825328.0,0.0,1.0
2020-04-03,604.1,606.65,582.35,585.45,577.5861,327035.0,0.0,1.0
2020-04-07,611.9,643.95,611.9,641.1,632.4885,418888.0,0.0,1.0
2020-04-08,628.2,655.2,626.75,631.7,623.2148,588592.0,0.0,1.0
2020-04-09,648.9,652.75,632.7,637.6,629.0355,547723.0,0.0,1.0
2020-04-13,630.0,651.6,627.0,637.1,628.5422,274101.0,0.0,1.0
2020-04-15,645.0,652.8,635.7,639.15,630.5648,794120.0,0.0,1.0
2020-04-16,622.85,634.3,604.0,624.2,615.8156,402658.0,0.0,1.0
2020-04-17,640.0,646.0,626.05,629.3,620.847,221622.0,0.0,1.0
2020-04-20,640.0,660.7,639.3,652.9,644.1301,455876.0,0.0,1.0
2020-04-21,632.0,646.5,627.7,633.05,624.5466,265764.0,0.0,1.0
2020-04-22,633.2,645.3,628.1,642.05,633.4258,166193.0,0.0,1.0
2020-04-23,649.0,683.0,638.5,678.45,669.3369,1541355.0,0.0,1.0
2020-04-24,674.4,674.9,655.65,658.3,649.4575,263300.0,0.0,1.0
2020-04-27,660.0,680.85,660.0,664.25,655.3276,134910.0,0.0,1.0
2020-04-28,673.0,676.65,653.65,661.05,652.1705,201758.0,0.0,1.0
2020-04-29,667.8,681.7,658.1,677.7,668.5969,199318.0,0.0,1.0
2020-04-30,696.0,719.8,696.0,716.2,706.5798,430782.0,0.0,1.0
2020-05-04,694.55,700.95,670.45,673.75,664.7,202813.0,0.0,1.0
2020-05-05,681.15,685.5,670.1,674.25,665.1932,120580.0,0.0,1.0
2020-05-06,679.7,681.3,664.25,666.2,657.2514,162251.0,0.0,1.0
