date,open,high,low,close,adjustedClose,volume,dividendAmt,splitCoeff
2020-03-17,60.8,63.2,59.7,60.05,55.9058,3505092.0,0.0,1.0
2020-03-18,61.75,84.05,57.55,65.95,61.3986,7055914.0,0.0,1.0
2020-03-19,62.0,64.0,58.1,61.1,56.8833,4503968.0,0.0,1.0
2020-03-20,63.55,74.3,62.75,72.45,67.45,6246561.0,0.0,1.0
2020-03-23,62.5,65.45,60.05,60.45,60.45,2414117.0,5.0,1.0
2020-03-24,64.0,64.6,60.1,62.5,62.5,2264087.0,0.0,1.0
2020-03-25,62.45,63.0,60.0,61.5,61.5,1491418.0,0.0,1.0
2020-03-26,61.5,65.55,59.7,64.8,64.8,2490350.0,0.0,1.0
2020-03-27,66.0,66.2,62.75,64.3,64.3,1693106.0,0.0,1.0
2020-03-30,61.75,65.6,60.0,63.45,63.45,1338352.0,0.0,1.0
2020-03-31,64.4,69.7,63.85,68.3,68.3,2163519.0,0.0,1.0
2020-04-01,67.75,67.75,65.15,65.75,65.75,984431.0,0.0,1.0
2020-04-03,69.35,71.0,66.5,69.85,69.85,2336927.0,0.0,1.0
2020-04-07,71.15,74.35,70.25,73.05,73.05,1949593.0,0.0,1.0
2020-04-08,73.25,76.35,71.1,74.25,74.25,1614433.0,0.0,1.0
2020-04-09,76.4,77.7,76.0,77.3,77.3,1131691.0,0.0,1.0
2020-04-13,78.9,78.9,72.7,75.05,75.05,1488377.0,0.0,1.0
2020-04-15,75.55,76.45,73.55,74.35,74.35,1321745.0,0.0,1.0
2020-04-16,73.8,76.5,73.5,75.65,75.65,1056542.0,0.0,1.0
2020-04-17,77.05,77.9,75.15,76.3,76.3,982006.0,0.0,1.0
2020-04-20,75.8,75.8,73.8,74.05,74.05,951631.0,0.0,1.0
2020-04-21,70.5,70.75,67.6,69.25,69.25,2262467.0,0.0,1.0
2020-04-22,66.5,66.5,60.9,65.35,65.35,4278894.0,0.0,1.0
2020-04-23,67.0,69.05,66.65,67.3,67.3,4519518.0,0.0,1.0
2020-04-24,67.4,69.5,66.6,67.6,67.6,2147374.0,0.0,1.0
2020-04-27,69.9,69.9,67.7,68.5,68.5,1524026.0,0.0,1.0
2020-04-28,68.0,69.6,67.1,69.15,69.15,905914.0,0.0,1.0
2020-04-29,69.6,70.95,68.7,70.5,70.5,1247449.0,0.0,1.0
2020-04-30,72.15,81.05,71.5,79.95,79.95,3647201.0,0.0,1.0
2020-05-04,76.3,77.9,74.1,76.55,76.55,1707344.0,0.0,1.0
2020-05-05,78.5,81.9,78.05,78.45,78.45,2716607.0,0.0,1.0
2020-05-06,81.45,81.45,77.5,79.25,79.25,1749719.0,0.0,1.0
2020-05-07,79.0,79.0,75.15,75.65,75.65,975540.0,0.0,1.0
2020-05-08,76.8,77.2,74.8,75.95,75.95,931191.0,0.0,1.0
2020-05-11,75.9,78.15,74.7,77.0,77.0,710578.0,0.0,1.0
2020-05-12,76.9,77.25,74.55,76.25,76.25,616351.0,0.0,1.0
2020-05-13,80.0,80.0,76.25,78.2,78.2,749724.0,0.0,1.0
2020-05-14,76.7,77.2,75.25,76.15,76.15,500642.0,0.0,1.0
2020-05-15,77.5,78.5,75.95,76.1,76.1,744980.0,0.0,1.0
2020-05-18,77.0,77.0,72.5,72.9,72.9,678172.0,0.0,1.0
2020-05-19,74.6,78.65,74.1,77.1,77.1,1439027.0,0.0,1.0
2020-05-20,77.0,78.5,76.4,78.05,78.05,556571.0,0.0,1.0
2020-05-21,78.9,78.9,76.45,77.0,77.0,488022.0,0.0,1.0
