name,symbol
IRFC,IRFC
20 Microns Limited,20MICRONS
21st Century Management Services Limited,21STCENMGM
3i Infotech Limited,3IINFOTECH
3M India Limited,3MINDIA
3P Land Holdings Limited,3PLAND
5Paisa Capital Limited,5PAISA
63 moons technologies limited,63MOONS
A2Z Infra Engineering Limited,A2ZINFRA
Aarti Drugs Limited,AARTIDRUGS
Aarti Industries Limited,AARTIIND
Aarvee Denims & Exports Limited,AARVEEDEN
Aavas Financiers Limited,AAVAS
Aban Offshore Limited,ABAN
ABB India Limited,ABB
Abbott India Limited,ABBOTINDIA
Aditya Birla Capital Limited,ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL
ABM International Limited,ABMINTLTD
ACC Limited,ACC
Accelya Solutions India Limited,ACCELYA
Action Construction Equipment Limited,ACE
Adani Enterprises Limited,ADANIENT
Adani Gas Limited,ADANIGAS
Adani Green Energy Limited,ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS
Adani Power Limited,ADANIPOWER
Adani Transmission Limited,ADANITRANS
ADF Foods Limited,ADFFOODS
Adhunik Metaliks Limited,ADHUNIK
Adhunik Industries Limited,ADHUNIKIND
Adlabs Entertainment Limited,ADLABS
Ador Welding Limited,ADORWELD
Adroit Infotech Limited,ADROITINFO
Allied Digital Services Limited,ADSL
Advani Hotels & Resorts (India) Limited,ADVANIHOTR
Advanced Enzyme Technologies Limited,ADVENZYMES
Aegis Logistics Limited,AEGISCHEM
Affle (India) Limited,AFFLE
Agarwal Industrial Corporation Limited,AGARIND
AGC Networks Limited,AGCNET
Agri-Tech (India) Limited,AGRITECH
Agro Phos India Limited,AGROPHOS
Asian Hotels (East) Limited,AHLEAST
Ahluwalia Contracts (India) Limited,AHLUCONT
Asian Hotels (West) Limited,AHLWEST
AIA Engineering Limited,AIAENG
Monnet Ispat & Energy Limited,AIONJSW
Airan Limited,AIRAN
Ajanta Pharma Limited,AJANTPHARM
Ajmera Realty & Infra India Limited,AJMERA
Akash Infra-Projects Limited,AKASH
AksharChem India Limited,AKSHARCHEM
Aksh Optifibre Limited,AKSHOPTFBR
Akzo Nobel India Limited,AKZOINDIA
Alankit Limited,ALANKIT
Albert David Limited,ALBERTDAVD
Allahabad Bank,ALBK
Alchemist Limited,ALCHEM
Alembic Limited,ALEMBICLTD
Alicon Castalloy Limited,ALICON
Alkali Metals Limited,ALKALI
Alkem Laboratories Limited,ALKEM
Alkyl Amines Chemicals Limited,ALKYLAMINE
Allcargo Logistics Limited,ALLCARGO
Allsec Technologies Limited,ALLSEC
Almondz Global Securities Limited,ALMONDZ
Alok Industries Limited,ALOKTEXT
Alpa Laboratories Limited,ALPA
Alphageo (India) Limited,ALPHAGEO
Alps Industries Limited,ALPSINDUS
Amara Raja Batteries Limited,AMARAJABAT
Amber Enterprises India Limited,AMBER
