Name,NumberOfStocks,SellingPrice,Date,TotalCost,ExtraCharges,BrokerageCost
JAGSONPAL,10,64.9,2020-11-20,648.82,0.0,0.18
HDFCBANK,1,1394.0,2020-11-10,1392.13,0.0,1.87
SBIN,50,228.0,2020-11-10,11388.17,0.0,11.83
ICICIBANK,20,443.0,2020-11-06,8850.81,0.0,9.19
SBIN,6,204.1,2020-11-04,1224.25,0.0,0.35
HDFCBANK,15,1157.27,2020-10-07,17341.34,0.0,17.71
RELIANCE,10,2216.0,2020-09-10,22137.16,0.0,22.84
SBIN,10,208.0,2020-08-25,2077.92,0.0,2.08
IOLCP,28,796.0,2020-07-29,22312.49,0.0,24.49
SBICARDS,19,796.0,2020-07-21,15108.15,0.0,15.85
INFY,3,932.0,2020-07-16,2792.89,0.0,3.11
SBIN,10,196.5,2020-03-26,1965.0,27.43,27.43
